BYK8032 Windows 10 Education (64 bit) sharing (64bit EXE) DEBUG [BAKERY_LOCK] NCPUS=8 RAM=8GB 25-Nov-2017 17:41:29
COUNTER64 NOPS=10000 NSECONDS=2 LOCKSTR=BAKERY_LOCK
Intel64 family 6 model 60 stepping 3 Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz
L1 D    32K L 64 K  8 N   64
L1 I    32K L 64 K  8 N   64
L2 U   256K L 64 K  8 N  512
L3 U  8192K L 64 K 16 N 8192

sharing              nt              rt             ops            incs    incs PER SEC             rel
-------              --              --             ---             ---      ----------             ---
100%               1            2.00      17,610,000      17,610,000    8,796,203.80            1.00
100%               2            2.00      15,230,000      15,230,000    7,607,392.61            0.86
100%               3            2.00      14,250,000      14,250,000    7,117,882.12            0.81
100%               4            2.00      13,690,000      13,690,000    6,834,747.88            0.78
100%               5            2.01      12,950,000      12,950,000    6,452,416.54            0.74
100%               6            2.01      11,700,000      11,700,000    5,820,895.52            0.66
100%               7            2.01      10,780,000      10,780,000    5,373,878.36            0.61
100%               8            2.02       8,000,000       8,000,000    3,970,223.33            0.45
100%               9            8.02          90,000          90,000       11,227.54            0.01
100%              10          232.11         180,000         180,000          775.49            0.01
100%              11           72.86         190,000         190,000        2,607.88            0.01
100%              12          569.25         120,000         120,000          210.81            0.01
100%              13          756.67         130,000         130,000          171.80            0.01

