BYK8032 Windows 10 Education (64 bit) sharing (64bit EXE) DEBUG [MCS_LOCK] NCPUS=8 RAM=8GB 25-Nov-2017 15:46:19
COUNTER64 NOPS=10000 NSECONDS=2 LOCKSTR=MCS_LOCK
Intel64 family 6 model 60 stepping 3 Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz
L1 D    32K L 64 K  8 N   64
L1 I    32K L 64 K  8 N   64
L2 U   256K L 64 K  8 N  512
L3 U  8192K L 64 K 16 N 8192

sharing              nt              rt             ops            incs    incs PER SEC             rel
-------              --              --             ---             ---      ----------             ---
100%               1            2.00      23,130,000      23,130,000   11,553,446.55            1.00
100%               2            2.00      13,280,000      13,280,000    6,630,054.92            0.57
100%               3            2.00      14,310,000      14,310,000    7,140,718.56            0.62
100%               4            2.00      16,160,000      16,160,000    8,059,850.37            0.70
100%               5            2.00      15,550,000      15,550,000    7,763,354.97            0.67
100%               6            2.00      15,060,000      15,060,000    7,514,970.06            0.65
100%               7            2.01      14,700,000      14,700,000    7,313,432.84            0.64
100%               8            2.01      13,340,000      13,340,000    6,623,634.56            0.58
100%               9          166.60          90,000          90,000          540.21            0.00
100%              10           81.37         240,000         240,000        2,949.42            0.01
100%              11          442.03         270,000         270,000          610.82            0.01
100%              12          522.08         120,000         120,000          229.85            0.01




